0,dart,time,velocity
0,279,1590,2010
0,279,2020,2330
0,279,2170,2380
0,279,2314,2494
0,279,2493,2579
0,279,2662,2674
0,279,2994,2860
0,279,3880,3310
0,280,56,1585
0,280,371,1605
0,280,517,1640
0,280,640,1660
0,280,780,1680
0,280,888,1685
0,280,1060,1709
0,280,1170,1740
0,280,1380,1880
0,280,1590,2010
0,280,2000,2305
0,280,2160,2400
0,280,2314,2494
0,280,2471,2575
0,280,2662,2674
0,280,2994,2860
0,280,3880,3310
0,281,56,1585
0,281,371,1605
0,281,517,1640
0,281,640,1670
0,281,783,1705
0,281,895,1720
0,281,1048,1749
0,281,1173,1780
0,281,1380,1880
0,281,1590,2010
0,281,2000,2330
0,281,2163,2410
0,281,2314,2494
0,281,2494,2595
0,281,2669,2719
0,281,2997,2920
0,281,3880,3310
0,282,56,1585
0,282,371,1605
0,282,517,1640
0,282,640,1680
0,282,776,1695
0,282,895,1720
0,282,1048,1749
0,282,1177,1790
0,282,1370,1880
0,282,1580,2010
0,282,2000,2340
0,282,2148,2430
0,282,2302,2504
0,282,2494,2650
0,282,2661,2764
0,282,2997,2920
0,282,3880,3310
0,283,56,1585
0,283,367,1615
0,283,517,1640
0,283,620,1670
0,283,770,1690
0,283,895,1720
0,283,1048,1749
0,283,1181,1780
0,283,1370,1880
0,283,1580,2010
0,283,2010,2330
0,283,2152,2425
0,283,2302,2504
0,283,2480,2645
0,283,2661,2764
0,283,2997,2920
0,283,3880,3310
0,284,56,1585
0,284,367,1615
0,284,517,1640
0,284,630,1650
0,284,770,1710
0,284,895,1720
0,284,1048,1749
0,284,1171,1780
0,284,1370,1880
0,284,1580,2010
0,284,2000,2340
0,284,2160,2435
0,284,2316,2534
0,284,2470,2610
0,284,2700,2760
0,284,2997,2920
0,284,3880,3310
0,285,56,1585
0,285,367,1615
0,285,509,1650
0,285,637,1665
0,285,770,1710
0,285,895,1720
0,285,1048,1749
0,285,1163,1780
0,285,1370,1890
0,285,1580,2010
0,285,1990,2340
0,285,2171,2445
0,285,2316,2534
0,285,2466,2629
0,285,2703,2765
0,285,2997,2920
0,285,3880,3310
0,286,56,1585
0,286,367,1615
0,286,509,1650
0,286,630,1680
0,286,770,1710
0,286,895,1720
0,286,1048,1749
0,286,1167,1785
0,286,1360,1870
0,286,1570,2010
0,286,1990,2340
0,286,2160,2435
0,286,2316,2534
0,286,2481,2670
0,286,2707,2780
0,286,2997,2920
