Line-Trace,Pred-TVs,Lable-TVs,Dffirence
940_1750,13,15,-2
940_1850,9,14,-5
940_1900,14,23,-9
940_1950,15,18,-3
940_2000,14,21,-7
940_2050,18,14,4
940_2150,18,15,3
940_2250,11,15,-4
940_2300,14,16,-2
940_2350,15,15,0
940_2400,15,16,-1
940_2500,15,15,0
940_2600,22,16,6
940_2650,14,15,-1
940_2700,17,13,4
940_2750,15,14,1
940_2800,13,17,-4
940_2850,18,13,5
940_2900,20,20,0
940_3000,14,17,-3
940_3050,16,15,1
940_3100,10,18,-8
940_3150,17,18,-1
940_3200,16,20,-4
940_3250,18,20,-2
940_3300,18,22,-4
940_3400,21,18,3
940_3500,21,21,0
970_1650,20,12,8
970_1750,16,14,2
970_1800,11,16,-5
970_1850,9,14,-5
970_1900,13,16,-3
970_1950,15,17,-2
970_2000,14,19,-5
970_2050,17,14,3
970_2100,18,12,6
970_2150,14,14,0
970_2250,12,16,-4
970_2350,18,14,4
970_2400,13,15,-2
970_2450,15,16,-1
970_2500,16,15,1
970_2600,17,13,4
970_2650,20,13,7
970_2700,15,12,3
970_2750,16,12,4
970_2800,17,15,2
970_2850,18,11,7
970_2950,11,15,-4
970_3000,20,11,9
970_3050,15,12,3
970_3150,14,13,1
970_3200,17,15,2
970_3250,19,13,6
970_3300,20,15,5
970_3400,21,15,6
970_3450,21,14,7
970_3500,23,14,9
1000_1650,17,14,3
1000_1750,14,17,-3
1000_1800,18,17,1
1000_1850,14,17,-3
1000_1900,17,16,1
1000_2000,16,17,-1
1000_2050,14,16,-2
1000_2100,16,15,1
1000_2150,22,12,10
1000_2200,17,14,3
1000_2250,14,13,1
1000_2300,16,12,4
1000_2350,12,15,-3
1000_2400,19,12,7
1000_2550,19,15,4
1000_2600,18,15,3
1000_2650,20,13,7
1000_2750,13,13,0
1000_2800,19,13,6
1000_2850,18,16,2
1000_2900,17,13,4
1000_2950,19,13,6
1000_3050,19,14,5
1000_3100,14,14,0
1000_3150,15,15,0
1000_3200,17,14,3
1000_3250,19,16,3
1000_3300,16,15,1
1000_3350,18,16,2
1000_3400,14,13,1
1000_3500,21,14,7
DiffAll,DiffAll,DiffAll,-2249
Mean,15,17,-2
Median,15,17,-3
