Line-Trace,Pred-TVs,Lable-TVs,Dffirence
730_3350,5,18,-13
730_3400,4,14,-10
730_3450,5,17,-12
760_1650,1,12,-11
760_1750,3,14,-11
760_1800,2,19,-17
760_1900,3,19,-16
760_1950,6,18,-12
760_2050,7,17,-10
760_2100,6,22,-16
760_2150,8,20,-12
760_2200,8,17,-9
760_2250,3,15,-12
760_2300,3,18,-15
760_2350,2,15,-13
760_2400,3,21,-18
760_2450,4,16,-12
760_2500,2,15,-13
760_2550,1,16,-15
760_2600,2,20,-18
760_2650,1,15,-14
760_2700,1,19,-18
760_2750,2,15,-13
760_2800,1,17,-16
760_2850,2,12,-10
760_2900,1,13,-12
760_2950,1,12,-11
760_3000,1,18,-17
760_3050,1,17,-16
760_3100,2,21,-19
760_3200,7,20,-13
760_3250,4,18,-14
760_3300,3,19,-16
760_3350,4,15,-11
760_3450,7,14,-7
760_3500,7,18,-11
790_1700,1,11,-10
790_1800,6,17,-11
790_1850,1,16,-15
790_1900,4,15,-11
790_1950,5,18,-13
790_2000,4,20,-16
790_2050,6,17,-11
790_2100,5,17,-12
790_2150,7,18,-11
790_2250,2,11,-9
790_2300,3,12,-9
790_2350,1,12,-11
790_2400,1,13,-12
790_2500,3,14,-11
790_2550,2,14,-12
790_2600,3,19,-16
790_2650,1,15,-14
790_2700,1,12,-11
790_2750,1,11,-10
790_2800,1,10,-9
790_2900,2,13,-11
790_2950,1,11,-10
790_3050,1,12,-11
790_3100,1,17,-16
790_3150,6,17,-11
790_3200,8,16,-8
790_3350,4,17,-13
790_3400,6,18,-12
790_3450,10,17,-7
820_1650,1,12,-11
820_1700,1,11,-10
820_1750,2,11,-9
820_1800,5,22,-17
820_1850,7,17,-10
820_1900,4,18,-14
820_1950,7,15,-8
820_2000,7,22,-15
820_2050,3,17,-14
820_2100,3,20,-17
820_2150,7,15,-8
820_2200,3,18,-15
820_2250,5,15,-10
820_2300,5,17,-12
820_2400,3,17,-14
820_2450,1,14,-13
820_2500,2,16,-14
820_2600,2,16,-14
820_2750,1,12,-11
820_2950,1,12,-11
820_3000,1,16,-15
820_3050,1,14,-13
820_3100,1,15,-14
820_3150,6,16,-10
820_3200,7,22,-15
820_3250,11,22,-11
820_3350,4,17,-13
820_3400,4,17,-13
820_3500,6,17,-11
850_1750,2,13,-11
850_1850,4,17,-13
850_1900,3,17,-14
850_1950,6,17,-11
850_2000,6,17,-11
850_2050,4,18,-14
850_2100,6,18,-12
850_2150,5,16,-11
850_2200,5,17,-12
850_2250,7,19,-12
850_2300,6,19,-13
850_2350,5,16,-11
850_2400,2,18,-16
850_2500,5,16,-11
850_2550,3,13,-10
850_2600,3,14,-11
850_2650,2,15,-13
850_2700,1,14,-13
850_2750,1,14,-13
850_2800,3,14,-11
850_2850,2,13,-11
850_3000,1,12,-11
850_3100,2,16,-14
850_3150,4,14,-10
850_3250,9,21,-12
850_3350,3,18,-15
850_3400,5,16,-11
850_3450,4,14,-10
880_1700,1,14,-13
880_1750,2,13,-11
880_1800,3,20,-17
880_1850,5,17,-12
880_1900,8,19,-11
880_1950,9,21,-12
880_2000,10,21,-11
880_2050,7,19,-12
880_2100,4,21,-17
880_2200,5,18,-13
880_2250,8,18,-10
880_2300,5,24,-19
880_2350,4,20,-16
880_2450,1,12,-11
880_2500,2,16,-14
880_2550,1,16,-15
880_2650,1,14,-13
880_2700,1,14,-13
880_2750,1,12,-11
880_2800,1,16,-15
880_2850,1,10,-9
880_2900,1,11,-10
880_2950,1,14,-13
880_3000,1,21,-20
880_3050,2,16,-14
880_3100,2,19,-17
880_3150,8,18,-10
880_3200,2,18,-16
880_3250,6,14,-8
880_3300,10,20,-10
880_3350,4,14,-10
880_3400,5,20,-15
880_3450,4,13,-9
910_1750,2,11,-9
910_1800,5,18,-13
910_1850,3,18,-15
910_1900,7,15,-8
910_1950,6,16,-10
910_2000,8,15,-7
910_2050,7,14,-7
910_2100,6,18,-12
910_2150,6,17,-11
910_2200,6,14,-8
910_2250,6,15,-9
910_2300,2,13,-11
910_2350,3,14,-11
910_2400,4,17,-13
910_2450,1,13,-12
910_2550,1,12,-11
910_2600,1,11,-10
910_2700,1,14,-13
910_2750,1,13,-12
910_2850,1,15,-14
910_2950,1,12,-11
910_3000,1,11,-10
910_3100,6,17,-11
910_3150,2,15,-13
910_3200,6,15,-9
910_3300,6,14,-8
910_3350,2,17,-15
910_3400,4,18,-14
910_3450,6,12,-6
910_3500,6,11,-5
940_1700,1,8,-7
940_1750,3,14,-11
940_1800,1,19,-18
940_1850,2,15,-13
940_1950,3,19,-16
940_2000,9,20,-11
940_2050,6,11,-5
940_2100,7,20,-13
940_2150,7,14,-7
940_2200,8,20,-12
940_2250,3,14,-11
940_2350,5,16,-11
940_2450,2,14,-12
940_2500,3,16,-13
940_2550,4,13,-9
940_2650,1,13,-12
940_2700,2,15,-13
940_2750,1,13,-12
940_2800,3,18,-15
940_2850,1,14,-13
940_2900,1,20,-19
940_3050,1,13,-12
940_3100,2,19,-17
940_3150,3,19,-16
940_3200,6,21,-15
940_3250,10,20,-10
940_3300,10,23,-13
940_3350,7,18,-11
940_3400,14,22,-8
940_3450,8,18,-10
940_3500,8,21,-13
970_1800,3,15,-12
970_1850,2,14,-12
970_1900,2,16,-14
970_1950,4,16,-12
970_2000,6,19,-13
970_2050,5,12,-7
970_2100,5,13,-8
970_2150,5,13,-8
970_2200,3,17,-14
970_2250,2,15,-13
970_2300,5,15,-10
970_2350,6,14,-8
970_2400,2,15,-13
970_2450,4,15,-11
970_2500,3,13,-10
970_2550,2,12,-10
970_2600,2,13,-11
970_2650,1,12,-11
970_2700,1,11,-10
970_2750,2,12,-10
970_2850,1,11,-10
970_2950,1,15,-14
970_3050,1,13,-12
970_3100,4,9,-5
970_3150,2,12,-10
970_3250,8,11,-3
970_3300,8,12,-4
970_3400,8,9,-1
970_3450,9,9,0
970_3500,6,11,-5
1000_1800,1,17,-16
1000_1850,1,16,-15
1000_1950,2,15,-13
1000_2000,2,16,-14
1000_2100,2,15,-13
1000_2150,1,10,-9
1000_2250,1,11,-10
1000_2300,2,11,-9
1000_2350,2,15,-13
1000_2450,3,13,-10
1000_2500,2,11,-9
1000_2550,2,14,-12
1000_2600,1,13,-12
1000_2650,1,12,-11
1000_2700,1,13,-12
1000_2750,1,13,-12
1000_2800,2,14,-12
1000_2850,1,15,-14
1000_2900,1,13,-12
1000_2950,1,14,-13
1000_3000,1,13,-12
1000_3050,3,13,-10
1000_3100,1,13,-12
1000_3150,1,14,-13
1000_3200,5,13,-8
1000_3250,4,13,-9
1000_3350,8,12,-4
1000_3400,4,11,-7
1000_3450,3,10,-7
1000_3500,6,10,-4
DiffAll,DiffAll,DiffAll,-12766
Mean,4,17,-13
Median,3,17,-13
