Line-Trace,Pred-TVs,Lable-TVs,Dffirence
790_3000,2,13,-11
790_3050,1,13,-12
790_3150,5,17,-12
790_3200,11,16,-5
790_3250,9,17,-8
790_3300,9,18,-9
790_3350,7,17,-10
790_3400,11,18,-7
790_3450,10,17,-7
790_3500,6,15,-9
820_1650,1,12,-11
820_1700,4,12,-8
820_1750,2,11,-9
820_1900,8,18,-10
820_1950,11,16,-5
820_2000,8,23,-15
820_2100,4,21,-17
820_2200,8,19,-11
820_2250,5,15,-10
820_2300,5,17,-12
820_2350,3,18,-15
820_2400,3,17,-14
820_2450,1,14,-13
820_2500,3,16,-13
820_2550,1,14,-13
820_2600,1,16,-15
820_2650,3,16,-13
820_2700,2,18,-16
820_2750,2,13,-11
820_2800,1,13,-12
820_2900,1,12,-11
820_3000,3,16,-13
820_3050,2,15,-13
820_3150,7,17,-10
820_3200,8,22,-14
820_3250,16,22,-6
820_3350,9,17,-8
820_3400,7,17,-10
820_3450,8,16,-8
820_3500,8,17,-9
850_1650,1,13,-12
850_1700,5,15,-10
850_1750,2,14,-12
850_1850,6,17,-11
850_1900,8,17,-9
850_2000,8,17,-9
850_2050,10,19,-9
850_2100,8,19,-11
850_2150,6,17,-11
850_2200,7,17,-10
850_2250,12,20,-8
850_2350,5,17,-12
850_2400,5,18,-13
850_2450,4,14,-10
850_2500,6,16,-10
850_2600,4,14,-10
850_2650,4,15,-11
850_2700,4,15,-11
850_2750,1,15,-14
850_2800,2,13,-11
850_2900,1,12,-11
850_2950,3,11,-8
850_3050,2,16,-14
850_3100,7,17,-10
850_3250,10,21,-11
850_3300,9,22,-13
850_3350,3,18,-15
850_3400,7,16,-9
850_3450,7,14,-7
850_3500,9,16,-7
880_1650,1,13,-12
880_1700,2,15,-13
880_1750,2,13,-11
880_1850,7,18,-11
880_1900,9,19,-10
880_1950,10,21,-11
880_2000,11,21,-10
880_2100,9,21,-12
880_2150,10,19,-9
880_2200,8,18,-10
880_2250,7,18,-11
880_2300,6,24,-18
880_2350,10,21,-11
880_2450,3,12,-9
880_2500,3,16,-13
880_2600,1,14,-13
880_2650,1,14,-13
880_2750,3,12,-9
880_2800,1,16,-15
880_2850,1,12,-11
880_2950,4,13,-9
880_3000,2,17,-15
880_3050,3,16,-13
880_3100,6,20,-14
880_3150,10,18,-8
880_3250,10,15,-5
880_3300,8,20,-12
880_3350,9,14,-5
880_3450,6,12,-6
880_3500,8,14,-6
910_1650,1,12,-11
910_1700,1,14,-13
910_1750,5,15,-10
910_1800,6,16,-10
910_1850,8,20,-12
910_1900,7,15,-8
910_1950,6,18,-12
910_2000,10,18,-8
910_2050,9,15,-6
910_2200,8,15,-7
910_2250,5,15,-10
910_2300,6,12,-6
910_2400,3,13,-10
910_2450,3,12,-9
910_2500,4,14,-10
910_2600,1,11,-10
910_2650,1,14,-13
910_2700,2,16,-14
910_2750,2,15,-13
910_2800,3,16,-13
910_2950,1,12,-11
910_3000,2,12,-10
910_3050,3,14,-11
910_3100,6,16,-10
910_3150,4,15,-11
910_3200,9,15,-6
910_3250,8,17,-9
910_3300,5,16,-11
910_3350,5,15,-10
910_3400,7,16,-9
910_3450,9,12,-3
910_3500,9,11,-2
940_1700,2,10,-8
940_1750,4,15,-11
940_1850,4,14,-10
940_1900,9,23,-14
940_1950,6,18,-12
940_2000,8,21,-13
940_2050,11,14,-3
940_2150,9,15,-6
940_2250,4,15,-11
940_2300,4,16,-12
940_2350,5,15,-10
940_2400,4,16,-12
940_2500,3,15,-12
940_2600,2,16,-14
940_2650,4,15,-11
940_2700,3,13,-10
940_2750,2,14,-12
940_2800,4,17,-13
940_2850,2,13,-11
940_2900,1,20,-19
940_3000,2,17,-15
940_3050,1,15,-14
940_3100,2,18,-16
940_3150,4,18,-14
940_3200,8,20,-12
940_3250,13,20,-7
940_3300,10,22,-12
940_3400,13,18,-5
940_3500,7,21,-14
970_1650,1,12,-11
970_1750,4,14,-10
970_1800,5,16,-11
970_1850,2,14,-12
970_1900,4,16,-12
970_1950,9,17,-8
970_2000,8,19,-11
970_2050,8,14,-6
