Line-Trace,Pred-TVs,Lable-TVs,Dffirence
880_3250,8,15,-7
880_3300,9,20,-11
880_3350,9,14,-5
880_3450,9,12,-3
880_3500,13,14,-1
910_1650,16,12,4
910_1700,22,14,8
910_1750,12,15,-3
910_1800,8,16,-8
910_1850,5,20,-15
910_1900,5,15,-10
910_1950,6,18,-12
910_2000,6,18,-12
910_2050,7,15,-8
910_2200,8,15,-7
910_2250,8,15,-7
910_2300,10,12,-2
910_2400,11,13,-2
910_2450,15,12,3
910_2500,10,14,-4
910_2600,13,11,2
910_2650,15,14,1
910_2700,14,16,-2
910_2750,10,15,-5
910_2800,8,16,-8
910_2950,15,12,3
910_3000,16,12,4
910_3050,8,14,-6
910_3100,11,16,-5
910_3150,9,15,-6
910_3200,8,15,-7
910_3250,11,17,-6
910_3300,10,16,-6
910_3350,11,15,-4
910_3400,8,16,-8
910_3450,9,12,-3
910_3500,14,11,3
940_1700,14,10,4
940_1750,9,15,-6
940_1850,5,14,-9
940_1900,5,23,-18
940_1950,9,18,-9
940_2000,6,21,-15
940_2050,7,14,-7
940_2150,9,15,-6
940_2250,7,15,-8
940_2300,10,16,-6
940_2350,10,15,-5
940_2400,11,16,-5
940_2500,12,15,-3
940_2600,20,16,4
940_2650,10,15,-5
940_2700,14,13,1
940_2750,13,14,-1
940_2800,9,17,-8
940_2850,16,13,3
940_2900,19,20,-1
940_3000,12,17,-5
940_3050,15,15,0
940_3100,8,18,-10
940_3150,13,18,-5
940_3200,8,20,-12
940_3250,5,20,-15
940_3300,8,22,-14
940_3400,8,18,-10
940_3500,14,21,-7
970_1650,19,12,7
970_1750,12,14,-2
970_1800,6,16,-10
970_1850,7,14,-7
970_1900,9,16,-7
970_1950,6,17,-11
970_2000,6,19,-13
970_2050,9,14,-5
970_2100,9,12,-3
970_2150,6,14,-8
970_2250,9,16,-7
970_2350,11,14,-3
970_2400,10,15,-5
970_2450,11,16,-5
970_2500,11,15,-4
970_2600,13,13,0
970_2650,18,13,5
970_2700,13,12,1
970_2750,14,12,2
970_2800,16,15,1
970_2850,15,11,4
970_2950,10,15,-5
970_3000,19,11,8
970_3050,14,12,2
970_3150,10,13,-3
970_3200,8,15,-7
970_3250,10,13,-3
970_3300,10,15,-5
970_3400,9,15,-6
970_3450,10,14,-4
970_3500,14,14,0
1000_1650,15,14,1
1000_1750,8,17,-9
1000_1800,17,17,0
1000_1850,13,17,-4
1000_1900,16,16,0
1000_2000,14,17,-3
1000_2050,9,16,-7
1000_2100,14,15,-1
1000_2150,21,12,9
1000_2200,16,14,2
1000_2250,12,13,-1
1000_2300,13,12,1
1000_2350,10,15,-5
1000_2400,18,12,6
1000_2550,18,15,3
1000_2600,17,15,2
1000_2650,17,13,4
1000_2750,12,13,-1
1000_2800,15,13,2
1000_2850,17,16,1
1000_2900,16,13,3
1000_2950,17,13,4
1000_3050,14,14,0
1000_3100,12,14,-2
1000_3150,13,15,-2
1000_3200,10,14,-4
1000_3250,13,16,-3
1000_3300,8,15,-7
1000_3350,10,16,-6
1000_3400,7,13,-6
1000_3500,14,14,0
DiffAll,DiffAll,DiffAll,-7592
Mean,9,17,-7
Median,9,17,-8
